"County","DeathCount","Gender","Race_Ethnicity","LocationID","LatLong"
"Falls County",259.9,"Female","White",48145,"(31.258898, -96.935139)"
"Fannin County",392.1,"Female","White",48147,"(33.596707, -96.101851)"
"Fayette County",270.9,"Female","White",48149,"(29.883069, -96.927656)"
"Fisher County",355.1,"Female","White",48151,"(32.740514, -100.404855)"
"Floyd County",288.3,"Female","White",48153,"(34.072796, -101.305009)"
"Foard County",344.9,"Female","White",48155,"(33.973911, -99.781641)"
"Fort Bend County",242.4,"Female","White",48157,"(29.53311, -95.773761)"
"Franklin County",363.8,"Female","White",48159,"(33.183302, -95.215584)"
"Freestone County",349.1,"Female","White",48161,"(31.711473, -96.149515)"
"Frio County",328.9,"Female","White",48163,"(28.865095, -99.110262)"
"Gaines County",352,"Female","White",48165,"(32.735901, -102.629158)"
"Galveston County",262.8,"Female","White",48167,"(29.406798, -94.955315)"
"Garza County",279.9,"Female","White",48169,"(33.172933, -101.302538)"
"Gillespie County",232.5,"Female","White",48171,"(30.324468, -98.949262)"
"Glasscock County",267.7,"Female","White",48173,"(31.871895, -101.521498)"
"Goliad County",232.2,"Female","White",48175,"(28.653769, -97.427707)"
"Gonzales County",280.4,"Female","White",48177,"(29.460268, -97.498962)"
"Gray County",428.6,"Female","White",48179,"(35.403598, -100.813885)"
"Grayson County",289.7,"Female","White",48181,"(33.629885, -96.670432)"
"Gregg County",308,"Female","White",48183,"(32.47925, -94.816827)"
"Grimes County",290.7,"Female","White",48185,"(30.550013, -95.987077)"
"Guadalupe County",275.4,"Female","White",48187,"(29.586354, -97.955007)"
"Hale County",291.5,"Female","White",48189,"(34.07355, -101.824583)"
"Hall County",296.7,"Female","White",48191,"(34.530892, -100.682762)"
"Hamilton County",325.7,"Female","White",48193,"(31.709702, -98.105626)"
"Hansford County",441,"Female","White",48195,"(36.272685, -101.354268)"
"Hardeman County",343.5,"Female","White",48197,"(34.291164, -99.747749)"
"Hardin County",359.6,"Female","White",48199,"(30.332636, -94.390874)"
"Harris County",259,"Female","White",48201,"(29.861852, -95.396028)"
"Harrison County",285.4,"Female","White",48203,"(32.546804, -94.369614)"
"Hartley County",405.3,"Female","White",48205,"(35.839507, -102.595685)"
"Haskell County",384.5,"Female","White",48207,"(33.178429, -99.728483)"
"Hays County",206.6,"Female","White",48209,"(30.053491, -98.039671)"
"Hemphill County",316.9,"Female","White",48211,"(35.839372, -100.269797)"
"Henderson County",383.6,"Female","White",48213,"(32.217069, -95.849923)"
"Hidalgo County",172.2,"Female","White",48215,"(26.401894, -98.191207)"
"Hill County",273.6,"Female","White",48217,"(31.999269, -97.132724)"
"Hockley County",290.4,"Female","White",48219,"(33.611216, -102.338)"
"Hood County",247.8,"Female","White",48221,"(32.432427, -97.829824)"
"Hopkins County",360.7,"Female","White",48223,"(33.153071, -95.561345)"
"Houston County",330.4,"Female","White",48225,"(31.324204, -95.42149)"
"Howard County",490.2,"Female","White",48227,"(32.30616, -101.435127)"
"Hudspeth County",279,"Female","White",48229,"(31.458315, -105.390813)"
"Hunt County",344.1,"Female","White",48231,"(33.127424, -96.078751)"
"Hutchinson County",534.4,"Female","White",48233,"(35.841282, -101.353978)"
"Irion County",205.8,"Female","White",48235,"(31.307685, -100.981592)"
"Jack County",344.2,"Female","White",48237,"(33.235266, -98.170181)"
"Jackson County",236.5,"Female","White",48239,"(28.947688, -96.577005)"
"Jasper County",349.8,"Female","White",48241,"(30.747838, -94.023567)"
"Jeff Davis County",305.9,"Female","White",48243,"(30.716808, -104.142495)"
"Jefferson County",355.8,"Female","White",48245,"(29.884669, -94.176312)"
"Jim Hogg County",NA,"Female","White",48247,"(27.049069, -98.707777)"
"Jim Wells County",261.3,"Female","White",48249,"(27.731824, -98.095607)"
"Johnson County",272.9,"Female","White",48251,"(32.383983, -97.366658)"
"Jones County",389.8,"Female","White",48253,"(32.740283, -99.881124)"
"Karnes County",289.9,"Female","White",48255,"(28.907883, -97.861794)"
"Kaufman County",390.1,"Female","White",48257,"(32.605661, -96.286922)"
"Kendall County",259.8,"Female","White",48259,"(29.94735, -98.719345)"
"Kenedy County",NA,"Female","White",48261,"(26.92722, -97.729018)"
"Kent County",280.9,"Female","White",48263,"(33.173248, -100.783289)"
"Kerr County",243.9,"Female","White",48265,"(30.067209, -99.352759)"
"Kimble County",248.5,"Female","White",48267,"(30.48811, -99.749908)"
"King County",305.1,"Female","White",48269,"(33.616046, -100.259276)"
"Kinney County",322.2,"Female","White",48271,"(29.348653, -100.420371)"
"Kleberg County",254.9,"Female","White",48273,"(27.43916, -97.733262)"
"Knox County",313.8,"Female","White",48275,"(33.60522, -99.74123)"
"Lamar County",353.4,"Female","White",48277,"(33.671811, -95.56629)"
"Lamb County",290.5,"Female","White",48279,"(34.071557, -102.347073)"
"Lampasas County",274.3,"Female","White",48281,"(31.201367, -98.244976)"
"La Salle County",300.7,"Female","White",48283,"(28.343008, -99.100944)"
"Lavaca County",251.4,"Female","White",48285,"(29.386516, -96.935619)"
